timestamp,building_id,floor,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,equipment_kwh,occupancy,outdoor_temperature,indoor_temperature,energy_cost,peak_hour
2026-03-12 06:00,B1,5,53.94,58.5,15.0,17.1,21.84,3,20.7,21.3,5.93,0
2026-03-12 09:00,B1,3,115.21,879.7,40.01,33.57,41.63,99,19.9,21.1,12.67,0
2026-03-12 13:00,B1,3,148.04,663.5,87.81,28.95,31.28,75,33.3,22.5,26.65,1
2026-03-12 16:00,B3,3,119.15,1071.9,31.21,37.18,50.76,122,18.2,22.1,21.45,1
2026-03-13 00:00,B1,5,109.73,147.2,76.55,9.73,23.45,15,35.4,21.7,12.07,0
2026-03-13 03:00,B2,4,42.51,126.6,15.0,8.28,19.23,12,22.4,22.2,4.68,0
2026-03-13 09:00,B2,3,163.34,824.7,93.31,31.8,38.23,95,33.8,22.8,17.97,0
2026-03-13 13:00,B3,4,193.36,1385.8,94.82,41.03,57.51,161,29.6,22.2,34.8,1
2026-03-13 19:00,B2,5,74.12,101.9,36.77,18.86,18.49,10,27.6,22.1,8.15,0
2026-03-14 01:00,B1,5,99.08,132.8,66.81,8.1,24.17,11,35.1,22.7,10.9,0
2026-03-14 07:00,B1,2,55.11,158.2,16.34,19.7,19.07,14,23.3,21.9,6.06,0
2026-03-14 11:00,B3,4,52.32,130.5,15.0,19.42,17.9,14,19.8,21.0,5.76,0
2026-03-14 19:00,B1,1,87.61,251.0,38.61,20.21,28.79,25,25.2,21.2,9.64,0
2026-03-14 23:00,B1,5,91.54,227.3,57.51,10.17,23.86,24,31.8,22.5,10.07,0
2026-03-15 07:00,B2,5,81.99,97.8,47.43,17.82,16.74,8,29.2,22.5,9.02,0
2026-03-15 11:00,B3,1,56.45,222.5,15.0,19.7,21.75,24,20.8,22.0,6.21,0
2026-03-15 14:00,B3,2,114.83,225.9,71.85,22.16,20.82,25,34.6,23.0,12.63,0
2026-03-15 18:00,B2,2,63.05,142.2,15.0,20.57,27.48,14,19.3,21.4,6.94,0
2026-03-16 00:00,B3,4,108.13,159.5,71.78,9.04,27.31,15,35.0,22.3,11.89,0
2026-03-16 03:00,B1,2,92.42,20.0,69.9,7.02,15.5,0,35.3,23.1,10.17,0
2026-03-16 11:00,B3,4,211.4,1163.1,114.76,38.54,58.1,134,34.5,21.5,23.25,0
2026-03-16 17:00,B3,1,391.68,1290.8,297.28,40.19,54.21,148,33.4,21.8,70.5,1
2026-03-16 23:00,B1,4,82.83,20.0,58.83,6.63,17.37,0,33.6,23.1,9.11,0
2026-03-17 07:00,B3,4,101.57,47.6,61.58,17.91,22.08,4,31.7,21.5,11.17,0
2026-03-17 11:00,B3,2,144.48,975.8,56.83,35.78,51.87,112,23.6,21.0,15.89,0
2026-03-17 15:00,B2,3,194.43,1425.3,92.67,42.32,59.44,166,27.2,21.7,35.0,1
2026-03-17 19:00,B1,3,101.63,103.5,57.44,19.02,25.17,10,31.9,23.1,11.18,0
2026-03-18 03:00,B1,4,65.07,132.9,39.85,7.77,17.45,12,27.7,21.9,7.16,0
2026-03-18 07:00,B2,1,65.27,141.4,19.81,19.79,25.67,12,23.7,22.2,7.18,0
2026-03-18 10:00,B1,5,165.1,635.7,100.14,28.12,36.84,72,35.4,21.8,18.16,0
2026-03-18 18:00,B3,2,100.02,826.1,24.29,32.03,43.7,93,19.3,23.0,18.0,1
2026-03-19 02:00,B2,4,88.34,33.8,64.75,7.35,16.24,2,33.7,21.1,9.72,0
2026-03-19 05:00,B3,1,43.51,21.2,20.31,7.39,15.81,0,26.0,22.7,4.79,0
2026-03-19 13:00,B3,2,173.15,1481.0,68.23,43.7,61.22,171,21.1,21.2,31.17,1
2026-03-19 19:00,B2,3,87.19,142.3,49.51,20.13,17.55,14,30.0,23.2,9.59,0
2026-03-20 01:00,B3,4,75.52,93.6,47.49,7.5,20.53,9,30.4,22.1,8.31,0
2026-03-20 07:00,B3,3,58.42,134.3,15.0,19.5,23.92,12,18.4,23.1,6.43,0
2026-03-20 15:00,B2,2,182.72,1231.5,87.75,37.9,57.07,141,28.9,21.9,32.89,1
2026-03-20 19:00,B3,1,105.13,90.4,68.69,17.45,18.99,9,34.3,22.6,11.56,0
2026-03-21 01:00,B3,4,54.43,205.2,21.01,9.4,24.02,22,21.2,21.3,5.99,0
2026-03-21 09:00,B2,3,100.09,91.2,55.21,19.95,24.93,7,32.5,22.2,11.01,0
2026-03-21 15:00,B1,4,56.26,182.9,15.0,21.1,20.16,19,18.3,22.3,6.19,0
2026-03-21 21:00,B1,2,70.03,216.1,33.98,10.13,25.92,22,26.5,22.5,7.7,0
2026-03-22 03:00,B3,4,37.14,87.6,15.0,7.38,14.76,6,20.1,21.1,4.09,0
2026-03-22 11:00,B2,5,73.1,105.0,28.7,19.31,25.09,9,25.5,22.9,8.04,0
2026-03-22 17:00,B1,3,58.86,128.3,16.85,18.1,23.91,12,21.9,22.1,6.47,0
2026-03-22 23:00,B1,4,48.55,200.6,15.0,8.49,25.06,19,23.0,23.4,5.34,0
2026-03-23 05:00,B1,2,85.98,84.2,61.11,8.34,16.53,6,32.2,21.5,9.46,0
2026-03-23 08:00,B2,2,218.86,1387.4,123.74,42.28,52.84,162,35.8,22.4,24.07,0
2026-03-23 12:00,B3,3,93.39,670.3,23.72,28.98,40.69,76,18.3,21.7,16.81,1
2026-03-23 15:00,B2,5,162.71,1324.2,64.13,41.55,57.03,153,22.0,22.5,29.29,1
2026-03-23 18:00,B2,4,176.42,1311.7,86.75,38.87,50.8,151,25.7,21.3,31.76,1
2026-03-24 00:00,B3,5,63.85,107.6,40.14,8.17,15.54,9,27.9,21.8,7.02,0
2026-03-24 04:00,B2,4,96.74,138.4,67.89,9.29,19.56,14,34.0,22.0,10.64,0
2026-03-24 08:00,B3,4,80.09,617.4,16.62,28.88,34.59,71,19.2,23.1,8.81,0
2026-03-24 14:00,B3,1,197.37,1569.1,85.4,45.6,66.37,180,25.4,23.2,35.53,1
2026-03-24 20:00,B1,5,83.45,148.5,38.14,18.57,26.74,15,27.1,21.4,9.18,0
2026-03-25 00:00,B2,5,95.33,20.0,67.34,6.97,21.02,0,35.5,23.0,10.49,0
2026-03-25 06:00,B2,3,62.65,114.8,15.0,20.02,27.63,12,18.1,23.2,6.89,0
2026-03-25 14:00,B2,4,170.71,1328.5,71.34,41.62,57.75,152,24.1,21.9,30.73,1
2026-03-25 17:00,B3,1,135.51,1062.4,54.67,35.54,45.3,122,22.9,22.7,24.39,1
2026-03-25 20:00,B2,5,92.37,24.6,26.01,19.1,47.26,1,26.8,22.7,10.16,0
2026-03-26 02:00,B2,1,38.59,69.3,15.0,7.35,16.24,5,18.1,22.9,4.24,0
2026-03-26 08:00,B1,4,144.2,549.9,87.1,25.53,31.57,62,33.5,21.1,15.86,0
2026-03-26 16:00,B2,1,122.98,726.1,49.91,30.0,43.07,81,25.3,23.4,22.14,1
2026-03-26 19:00,B1,4,84.18,135.4,46.26,20.04,17.88,12,28.6,22.3,9.26,0
2026-03-26 22:00,B3,5,49.46,110.6,15.0,9.11,25.35,11,21.5,22.9,5.44,0
2026-03-27 02:00,B1,5,41.54,49.6,15.0,7.62,18.92,2,20.8,22.9,4.57,0
2026-03-27 10:00,B3,5,148.68,870.5,76.44,33.03,39.21,101,29.6,23.5,16.35,0
2026-03-27 16:00,B2,5,101.92,860.1,29.42,30.96,41.54,99,19.0,22.3,18.35,1
2026-03-27 19:00,B3,5,71.2,28.1,31.9,18.58,20.72,1,27.1,22.2,7.83,0
2026-03-27 23:00,B1,4,44.65,96.2,15.0,6.75,22.9,10,19.9,23.2,4.91,0
2026-03-28 07:00,B3,5,90.47,130.6,45.72,20.42,24.33,14,29.0,21.9,9.95,0
2026-03-28 13:00,B1,3,63.69,147.1,15.0,20.65,28.04,14,19.7,22.7,7.01,0
2026-03-28 16:00,B3,2,124.8,250.6,77.88,20.93,25.99,25,34.5,21.8,13.73,0
2026-03-29 00:00,B3,3,91.85,189.0,57.83,10.16,23.86,21,32.6,22.7,10.1,0
2026-03-29 04:00,B2,4,39.44,109.6,15.0,8.88,15.56,9,21.5,23.5,4.34,0
2026-03-29 07:00,B3,3,116.92,237.1,68.02,20.09,28.81,24,33.8,22.5,12.86,0
2026-03-29 11:00,B3,4,59.41,135.5,15.0,19.63,24.78,12,18.8,21.9,6.54,0
2026-03-29 15:00,B2,4,122.74,217.0,80.49,20.84,21.41,23,34.3,21.5,13.5,0
2026-03-29 19:00,B1,5,66.26,243.8,15.0,20.86,30.4,25,20.5,21.6,7.29,0
2026-03-29 22:00,B2,1,97.83,195.2,58.82,9.46,29.55,21,31.7,21.7,10.76,0
2026-03-30 04:00,B1,4,37.96,79.1,15.0,6.29,16.67,7,19.0,22.3,4.18,0
2026-03-30 10:00,B1,2,159.58,1043.5,73.99,34.42,51.17,120,18.7,23.3,17.55,0
2026-03-30 14:00,B1,5,180.18,980.4,101.81,33.96,44.41,114,34.9,22.5,32.43,1
2026-03-30 22:00,B1,1,88.44,94.4,60.37,6.73,21.34,0,33.1,22.2,9.73,0
2026-03-31 06:00,B1,1,71.32,39.4,33.65,17.41,20.26,0,27.4,21.9,7.85,0
2026-03-31 09:00,B2,1,156.93,1204.0,61.34,38.75,56.84,140,24.2,22.8,17.26,0
2026-03-31 15:00,B3,2,197.74,1298.0,107.84,38.9,51.0,149,32.9,22.7,35.59,1
2026-03-31 18:00,B2,2,78.87,587.0,18.76,26.68,33.43,65,18.8,21.5,14.2,1
2026-03-31 21:00,B3,2,35.02,29.5,15.0,6.15,13.87,1,23.1,23.2,3.85,0
2026-04-01 05:00,B2,3,102.63,140.0,73.77,9.64,19.22,15,35.5,22.2,11.29,0
2026-04-01 13:00,B3,2,122.47,626.5,59.78,27.39,35.3,70,27.8,21.8,22.04,1
2026-04-01 21:00,B2,4,46.01,127.2,15.0,7.95,23.06,11,18.8,23.2,5.06,0
2026-04-02 05:00,B2,5,79.06,20.0,50.08,6.82,22.16,0,32.4,22.7,8.7,0
2026-04-02 11:00,B2,4,169.73,704.4,102.44,30.7,36.59,79,35.1,21.1,18.67,0
2026-04-02 17:00,B2,3,132.5,666.4,67.61,27.66,37.23,74,29.7,21.6,23.85,1
2026-04-02 23:00,B3,4,39.37,142.7,15.0,7.66,16.71,15,21.9,22.5,4.33,0
2026-04-03 02:00,B3,3,81.86,114.3,49.46,8.9,23.5,9,30.0,22.8,9.0,0
2026-04-03 08:00,B3,2,93.44,681.7,28.47,29.03,35.94,77,20.2,21.5,10.28,0
2026-04-03 12:00,B3,1,152.42,1318.2,52.44,40.23,59.75,151,19.2,22.0,27.44,1
2026-04-03 18:00,B3,1,137.24,911.6,57.98,34.09,45.17,104,26.1,22.7,24.7,1
2026-04-03 22:00,B2,5,92.3,63.5,71.08,6.36,14.86,3,34.4,21.1,10.15,0
2026-04-04 04:00,B1,3,45.05,135.6,15.0,7.86,22.19,13,21.5,23.4,4.96,0
2026-04-04 08:00,B1,5,92.56,234.0,51.71,22.04,18.81,23,31.0,22.5,10.18,0
2026-04-04 14:00,B3,2,105.91,241.8,58.15,22.42,25.34,25,31.8,22.0,11.65,0
2026-04-04 18:00,B3,4,56.27,71.2,18.58,18.15,19.54,6,23.4,21.2,6.19,0
2026-04-05 00:00,B3,3,106.96,149.7,80.1,7.72,19.14,16,35.6,21.3,11.77,0
2026-04-05 04:00,B1,1,64.2,238.4,22.98,11.49,29.73,24,23.2,22.0,7.06,0
2026-04-05 10:00,B1,2,80.6,191.8,41.94,20.49,18.17,20,27.0,22.3,8.87,0
2026-04-05 14:00,B1,5,137.89,188.6,90.62,21.53,25.74,20,24.4,21.1,15.17,0
2026-04-05 20:00,B3,3,96.76,163.2,55.56,20.24,20.96,17,31.7,21.9,10.64,0
2026-04-06 04:00,B3,3,77.03,65.1,53.69,5.74,17.6,3,32.9,22.6,8.47,0
2026-04-06 10:00,B1,2,117.54,576.7,58.8,26.16,32.58,65,28.8,22.0,12.93,0
2026-04-06 14:00,B2,5,156.81,1207.8,68.34,37.6,50.87,138,23.7,22.0,28.23,1
2026-04-06 20:00,B2,1,110.97,141.1,23.94,62.35,24.68,13,24.6,22.7,12.21,0
2026-04-07 00:00,B3,1,66.88,140.4,42.63,8.84,15.41,12,28.5,21.4,7.36,0
2026-04-07 03:00,B2,3,60.64,87.2,26.95,8.22,25.47,6,25.5,22.0,6.67,0
2026-04-07 06:00,B3,2,74.74,164.9,37.55,19.19,18.0,15,27.3,22.4,8.22,0
2026-04-07 12:00,B3,3,150.93,813.0,73.39,30.55,46.99,91,29.0,21.5,27.17,1
2026-04-07 16:00,B3,4,190.59,1548.7,85.09,45.01,60.49,179,23.7,21.9,34.31,1
2026-04-08 00:00,B2,2,38.37,41.4,15.91,6.63,15.83,2,23.2,21.7,4.22,0
2026-04-08 06:00,B3,3,54.71,88.6,15.0,19.06,20.65,7,20.5,22.5,6.02,0
2026-04-08 14:00,B2,4,78.68,539.6,21.7,27.93,29.05,60,19.8,22.9,14.16,1
2026-04-08 22:00,B2,2,83.64,103.7,59.16,9.07,15.41,9,31.6,21.7,9.2,0
2026-04-09 01:00,B1,4,96.6,46.6,71.57,6.34,18.69,1,33.9,21.4,10.63,0
2026-04-09 07:00,B1,1,57.43,109.8,15.4,20.47,21.56,10,23.4,22.5,6.32,0
2026-04-09 15:00,B2,2,204.13,1332.6,111.74,39.72,52.67,153,32.6,21.8,36.74,1
2026-04-09 19:00,B1,5,102.76,126.0,60.6,18.21,23.95,13,33.4,23.2,11.3,0
2026-04-10 01:00,B1,1,52.8,78.3,22.29,7.11,23.4,8,22.7,21.6,5.81,0
2026-04-10 05:00,B1,1,72.3,97.5,37.55,8.27,26.48,9,26.4,21.4,7.95,0
2026-04-10 09:00,B2,2,137.33,935.6,58.76,33.7,44.87,107,26.2,23.5,15.11,0
2026-04-10 13:00,B1,5,195.29,1007.9,107.48,34.64,53.17,117,33.7,21.2,35.15,1
2026-04-10 17:00,B3,5,138.33,1095.7,48.57,36.94,52.82,126,20.7,21.8,24.9,1
2026-04-11 01:00,B1,4,53.08,227.2,15.0,9.84,28.24,23,20.4,22.0,5.84,0
2026-04-11 04:00,B3,2,76.25,172.8,50.45,9.02,16.78,16,28.4,21.1,8.39,0
2026-04-11 12:00,B1,3,80.18,252.3,34.78,21.69,23.71,25,25.4,22.9,8.82,0
2026-04-11 20:00,B2,1,89.15,226.8,48.23,21.88,19.04,22,30.3,22.7,9.81,0
2026-04-12 00:00,B3,2,90.25,140.4,59.98,9.26,21.01,14,33.0,22.9,9.93,0
2026-04-12 08:00,B2,2,56.17,106.1,15.0,19.18,21.99,8,23.0,23.3,6.18,0
2026-04-12 12:00,B1,1,58.4,215.3,15.0,22.22,21.18,24,19.8,21.1,6.42,0
2026-04-12 16:00,B1,2,88.27,215.1,40.54,21.24,26.49,23,27.1,21.7,9.71,0
2026-04-12 20:00,B3,5,56.74,66.3,15.0,18.68,23.06,6,22.0,21.8,6.24,0
2026-04-13 04:00,B1,3,96.48,100.5,70.36,7.72,18.4,10,34.9,22.7,10.61,0
2026-04-13 08:00,B1,3,199.67,1038.2,109.8,35.54,54.33,119,33.4,21.4,21.96,0
2026-04-13 12:00,B2,2,151.07,1010.2,66.57,33.83,50.67,117,23.9,21.2,27.19,1
2026-04-13 15:00,B1,2,205.08,1252.5,106.34,39.19,59.55,145,32.5,22.5,36.91,1
2026-04-13 18:00,B1,2,226.38,1342.1,127.39,40.13,58.86,156,35.3,21.3,40.75,1
2026-04-14 00:00,B2,4,56.47,89.5,27.87,7.89,20.71,9,26.4,22.6,6.21,0
2026-04-14 08:00,B2,2,155.22,1148.6,71.99,38.02,45.21,132,24.7,22.0,17.07,0
2026-04-14 16:00,B2,2,149.89,1152.5,59.08,37.3,53.51,132,21.5,21.6,26.98,1
2026-04-15 00:00,B3,4,56.2,131.0,26.29,8.81,21.1,11,26.3,22.8,6.18,0
2026-04-15 03:00,B3,1,96.13,25.4,66.54,6.39,23.2,1,33.1,21.2,10.57,0
2026-04-15 06:00,B1,5,80.31,840.0,39.34,18.3,22.67,15,26.2,21.2,8.83,0
2026-04-15 12:00,B1,5,221.67,1411.2,116.0,40.99,64.68,163,32.6,22.7,39.9,1
2026-04-15 18:00,B2,3,180.58,962.5,98.39,33.38,48.81,111,32.3,21.2,32.5,1
2026-04-15 21:00,B3,1,40.26,152.5,15.0,7.28,17.98,15,19.7,21.9,4.43,0
2026-04-16 03:00,B3,1,92.1,83.8,58.16,8.65,25.29,7,34.1,23.3,10.13,0
2026-04-16 06:00,B3,3,91.39,24.7,60.24,18.7,12.45,1,34.2,22.4,10.05,0
2026-04-16 14:00,B1,3,298.58,1432.5,195.12,42.93,60.53,166,20.9,21.6,53.74,1
2026-04-16 20:00,B1,1,68.73,124.1,27.15,19.34,22.24,10,25.9,23.1,7.56,0
2026-04-17 02:00,B2,4,47.43,114.6,15.0,8.84,23.59,12,22.1,22.4,5.22,0
2026-04-17 06:00,B3,1,46.94,44.2,15.0,17.55,14.39,4,19.5,21.4,5.16,0
2026-04-17 12:00,B2,1,124.25,1007.2,46.57,35.09,42.59,117,20.4,21.5,22.36,1
2026-04-17 18:00,B2,1,113.19,612.3,42.6,28.18,42.41,70,23.3,22.0,20.37,1
2026-04-18 02:00,B1,2,42.37,101.0,15.0,7.65,19.72,9,22.8,21.7,4.66,0
2026-04-18 08:00,B1,4,77.91,103.2,41.55,17.22,19.14,8,28.7,21.5,8.57,0
2026-04-18 14:00,B2,3,78.22,250.9,35.64,20.16,22.42,25,25.8,23.1,8.6,0
2026-04-18 20:00,B1,4,123.19,233.8,80.31,21.48,21.4,25,35.4,21.7,13.55,0
2026-04-19 04:00,B2,1,102.8,218.8,74.35,10.6,17.85,22,34.8,21.5,11.31,0
2026-04-19 08:00,B2,3,110.69,170.6,71.13,19.12,20.44,18,33.0,21.2,12.18,0
2026-04-19 16:00,B2,1,83.95,226.3,33.26,20.97,29.72,23,26.1,22.5,9.23,0
2026-04-19 22:00,B3,5,89.18,97.4,39.79,30.77,18.62,8,28.7,23.3,9.81,0
2026-04-20 04:00,B2,1,46.01,87.2,15.0,7.22,23.79,7,18.2,21.6,5.06,0
2026-04-20 10:00,B1,4,81.87,614.4,21.21,29.32,31.34,70,19.9,22.0,9.01,0
2026-04-20 14:00,B3,4,172.78,1326.3,79.12,39.76,53.9,152,24.3,21.2,31.1,1
2026-04-20 20:00,B3,1,88.97,82.3,52.21,18.71,18.05,7,30.2,21.4,9.79,0
2026-04-21 04:00,B3,2,41.21,129.8,15.0,8.64,17.57,12,21.4,22.6,4.53,0
2026-04-21 08:00,B1,3,137.4,599.0,72.82,28.6,35.98,68,31.5,23.0,15.11,0
2026-04-21 11:00,B2,4,163.61,1176.6,78.54,37.58,47.49,136,27.5,22.6,18.0,0
2026-04-21 15:00,B3,3,202.16,1256.5,111.44,38.25,52.47,146,34.5,22.5,36.39,1
2026-04-21 23:00,B2,5,47.56,80.4,15.0,7.36,25.2,5,20.5,22.0,5.23,0
2026-04-22 03:00,B2,3,52.57,143.5,15.0,9.7,27.87,14,20.5,21.8,5.78,0
2026-04-22 11:00,B3,5,267.31,1049.5,86.96,36.82,143.53,122,29.8,22.0,29.4,0
2026-04-22 17:00,B1,5,149.78,1135.4,59.53,38.1,52.15,132,23.2,23.0,26.96,1
2026-04-22 23:00,B3,1,90.7,83.5,60.2,6.21,24.29,6,31.7,22.1,9.98,0
2026-04-23 02:00,B2,3,57.9,135.3,24.4,7.45,26.05,14,24.3,23.0,6.37,0
2026-04-23 08:00,B3,5,147.51,681.6,75.8,29.99,41.72,77,29.4,21.4,16.23,0
2026-04-23 12:00,B2,3,184.94,1450.6,76.04,44.05,64.85,169,23.2,21.7,33.29,1
2026-04-23 20:00,B1,3,106.75,66.8,64.25,18.73,23.77,4,33.6,21.3,11.74,0
2026-04-24 04:00,B1,5,79.46,114.8,44.32,8.7,26.44,12,29.4,22.6,8.74,0
2026-04-24 10:00,B3,3,163.37,1170.9,69.92,38.42,55.03,134,26.2,22.2,17.97,0
2026-04-24 16:00,B1,5,178.55,1422.6,72.97,41.56,64.02,165,25.2,23.4,32.14,1
2026-04-25 00:00,B2,1,44.44,185.2,15.0,10.64,18.8,19,18.8,22.6,4.89,0
2026-04-25 08:00,B1,2,100.28,140.4,64.93,19.03,16.32,13,33.9,21.8,11.03,0
2026-04-25 11:00,B2,3,92.07,177.3,54.75,20.81,16.51,18,31.1,22.9,10.13,0
2026-04-25 15:00,B3,4,49.19,80.1,15.0,18.47,15.72,8,18.2,22.7,5.41,0
2026-04-25 18:00,B1,3,70.52,184.3,31.73,20.81,17.98,17,24.6,21.7,7.76,0
2026-04-25 21:00,B3,2,72.95,235.8,35.18,11.51,26.26,25,25.9,22.8,8.02,0
2026-04-26 00:00,B1,1,72.37,165.5,44.15,8.12,20.1,18,28.6,22.0,7.96,0
2026-04-26 06:00,B3,1,97.97,140.8,60.1,19.92,17.95,14,33.3,22.6,10.78,0
2026-04-26 10:00,B2,4,55.43,224.8,15.0,22.27,18.16,24,20.0,22.2,6.1,0
2026-04-26 18:00,B3,4,68.62,182.0,30.09,21.31,17.22,20,24.6,22.7,7.55,0
2026-04-26 21:00,B1,4,72.17,207.7,40.27,9.42,22.48,21,27.1,22.6,7.94,0
2026-04-27 01:00,B2,1,46.81,78.6,22.69,6.37,17.75,6,23.6,22.3,5.15,0
2026-04-27 04:00,B2,4,65.47,36.9,43.79,7.92,13.76,1,31.1,23.1,7.2,0
2026-04-27 08:00,B1,1,141.27,714.7,73.51,29.04,38.72,80,30.7,22.8,15.54,0
2026-04-27 14:00,B1,3,215.05,1499.4,111.09,44.67,59.29,175,31.2,21.3,38.71,1
2026-04-27 17:00,B2,4,197.29,1449.6,97.27,42.45,57.57,169,27.2,21.1,35.51,1
2026-04-27 20:00,B1,5,49.4,20.0,15.0,17.42,16.98,0,18.0,23.1,5.43,0
2026-04-27 23:00,B3,4,41.08,110.1,15.0,6.73,19.35,10,22.0,21.6,4.52,0
2026-04-28 03:00,B1,5,100.28,36.3,69.82,7.9,22.56,2,35.7,23.4,11.03,0
2026-04-28 11:00,B1,3,115.82,872.2,43.1,31.43,41.29,98,21.6,22.4,12.74,0
2026-04-28 15:00,B3,5,139.88,539.1,80.77,25.07,34.04,60,31.7,21.6,25.18,1
