timestamp,event_id,building_id,access_point,person_id,person_type,access_type,authentication_method,entry_exit,access_status,visitor_id,location,risk_level
2026-03-01 15:00,EVT-00017,B1,Server Room #B1-F3,ADM-54,Administrator,Server Room,Access Card,Entry,Suspicious,N/A,Building B1 (Floor 3 - Server Room),High
2026-03-01 15:30,EVT-00018,B1,Server Room #B1-F3,CON-485,Contractor,Server Room,Biometric,Entry,Authorized,N/A,Building B1 (Floor 3 - Server Room),Low
2026-03-01 16:15,EVT-00019,B2,Office #B2-F3,EMP-691,Employee,Office,Access Card,Entry,Authorized,N/A,Building B2 (Floor 3 - Office),Low
2026-03-01 16:35,EVT-00020,B2,Restricted Area #B2-F5,EMP-667,Employee,Restricted Area,PIN,Entry,Authorized,N/A,Building B2 (Floor 5 - Restricted Area),Low
2026-03-01 16:45,EVT-00021,B2,Server Room #B2-F4,UNK-999,Unknown,Server Room,RFID,Entry,Authorized,N/A,Building B2 (Floor 4 - Server Room),Low
2026-03-01 17:15,EVT-00022,B1,Restricted Area #B1-F5,ADM-57,Administrator,Restricted Area,Biometric,Exit,Authorized,N/A,Building B1 (Floor 5 - Restricted Area),Low
2026-03-01 18:00,EVT-00023,B2,Restricted Area #B2-F3,CON-397,Contractor,Restricted Area,PIN,Exit,Authorized,N/A,Building B2 (Floor 3 - Restricted Area),Low
2026-03-01 18:30,EVT-00024,B2,Restricted Area #B2-F3,ADM-42,Administrator,Restricted Area,Access Card,Entry,Denied,N/A,Building B2 (Floor 3 - Restricted Area),High
2026-03-01 19:15,EVT-00025,B2,Office #B2-F1,EMP-279,Employee,Office,Access Card,Entry,Authorized,N/A,Building B2 (Floor 1 - Office),Low
2026-03-01 19:25,EVT-00026,B3,Emergency Exit #B3-F3,EMP-305,Employee,Emergency Exit,PIN,Exit,Authorized,N/A,Building B3 (Floor 3 - Emergency Exit),Low
2026-03-01 19:45,EVT-00027,B1,Restricted Area #B1-F4,VIS-885,Visitor,Restricted Area,Biometric,Exit,Authorized,VIS-885,Building B1 (Floor 4 - Restricted Area),Low
2026-03-01 19:55,EVT-00028,B1,Server Room #B1-F5,CON-323,Contractor,Server Room,RFID,Entry,Authorized,N/A,Building B1 (Floor 5 - Server Room),Low
2026-03-01 20:15,EVT-00029,B1,Parking #B1-F5,CON-352,Contractor,Parking,Access Card,Entry,Authorized,N/A,Building B1 (Floor 5 - Parking),Low
2026-03-01 20:45,EVT-00030,B3,Restricted Area #B3-F1,UNK-999,Unknown,Restricted Area,Access Card,Entry,Authorized,N/A,Building B3 (Floor 1 - Restricted Area),Low
2026-03-01 21:30,EVT-00031,B2,Office #B2-F4,EMP-338,Employee,Office,RFID,Exit,Authorized,N/A,Building B2 (Floor 4 - Office),Low
2026-03-01 22:15,EVT-00032,B1,Laboratory #B1-F2,VIS-543,Visitor,Laboratory,PIN,Exit,Authorized,VIS-543,Building B1 (Floor 2 - Laboratory),Low
2026-03-01 22:45,EVT-00033,B1,Emergency Exit #B1-F5,UNK-999,Unknown,Emergency Exit,PIN,Entry,Denied,N/A,Building B1 (Floor 5 - Emergency Exit),Medium
2026-03-01 22:55,EVT-00034,B1,Office #B1-F4,ADM-88,Administrator,Office,Visitor Pass,Exit,Authorized,N/A,Building B1 (Floor 4 - Office),Low
2026-03-01 23:15,EVT-00035,B3,Server Room #B3-F5,VIS-844,Visitor,Server Room,RFID,Entry,Authorized,VIS-844,Building B3 (Floor 5 - Server Room),Low
2026-03-02 00:00,EVT-00036,B1,Server Room #B1-F5,CON-433,Contractor,Server Room,PIN,Exit,Suspicious,N/A,Building B1 (Floor 5 - Server Room),High
2026-03-02 00:45,EVT-00037,B2,Restricted Area #B2-F5,UNK-999,Unknown,Restricted Area,PIN,Entry,Authorized,N/A,Building B2 (Floor 5 - Restricted Area),Low
2026-03-02 00:55,EVT-00038,B3,Main Entrance #B3-F3,CON-482,Contractor,Main Entrance,Access Card,Exit,Authorized,N/A,Building B3 (Floor 3 - Main Entrance),Low
2026-03-02 01:40,EVT-00039,B2,Parking #B2-F2,UNK-999,Unknown,Parking,Access Card,Entry,Authorized,N/A,Building B2 (Floor 2 - Parking),Low
2026-03-02 02:10,EVT-00040,B3,Emergency Exit #B3-F4,ADM-31,Administrator,Emergency Exit,Access Card,Entry,Authorized,N/A,Building B3 (Floor 4 - Emergency Exit),Low
2026-03-02 02:20,EVT-00041,B1,Emergency Exit #B1-F1,VIS-888,Visitor,Emergency Exit,RFID,Exit,Authorized,VIS-888,Building B1 (Floor 1 - Emergency Exit),Low
2026-03-02 02:40,EVT-00042,B3,Office #B3-F1,VIS-710,Visitor,Office,PIN,Exit,Authorized,VIS-710,Building B3 (Floor 1 - Office),Low
2026-03-02 03:00,EVT-00043,B2,Office #B2-F4,CON-402,Contractor,Office,Access Card,Exit,Authorized,N/A,Building B2 (Floor 4 - Office),Low
2026-03-02 03:45,EVT-00044,B3,Main Entrance #B3-F5,VIS-589,Visitor,Main Entrance,PIN,Entry,Authorized,VIS-589,Building B3 (Floor 5 - Main Entrance),Low
2026-03-02 04:05,EVT-00045,B1,Laboratory #B1-F4,EMP-615,Employee,Laboratory,RFID,Entry,Authorized,N/A,Building B1 (Floor 4 - Laboratory),Low
2026-03-02 04:25,EVT-00046,B2,Restricted Area #B2-F5,UNK-999,Unknown,Restricted Area,Biometric,Exit,Authorized,N/A,Building B2 (Floor 5 - Restricted Area),Low
2026-03-02 05:10,EVT-00047,B1,Office #B1-F5,VIS-522,Visitor,Office,Visitor Pass,Exit,Authorized,VIS-522,Building B1 (Floor 5 - Office),Low
2026-03-02 05:55,EVT-00048,B1,Parking #B1-F4,EMP-847,Employee,Parking,Biometric,Entry,Suspicious,N/A,Building B1 (Floor 4 - Parking),High
2026-03-02 06:25,EVT-00049,B1,Office #B1-F1,UNK-999,Unknown,Office,RFID,Entry,Authorized,N/A,Building B1 (Floor 1 - Office),Low
2026-03-02 06:45,EVT-00050,B3,Server Room #B3-F4,EMP-330,Employee,Server Room,Biometric,Exit,Authorized,N/A,Building B3 (Floor 4 - Server Room),Low
2026-03-02 07:15,EVT-00051,B1,Emergency Exit #B1-F4,CON-334,Contractor,Emergency Exit,PIN,Entry,Authorized,N/A,Building B1 (Floor 4 - Emergency Exit),Low
2026-03-02 08:00,EVT-00052,B3,Emergency Exit #B3-F1,ADM-20,Administrator,Emergency Exit,Biometric,Exit,Authorized,N/A,Building B3 (Floor 1 - Emergency Exit),Low
2026-03-02 08:30,EVT-00053,B1,Emergency Exit #B1-F5,VIS-826,Visitor,Emergency Exit,Visitor Pass,Exit,Authorized,VIS-826,Building B1 (Floor 5 - Emergency Exit),Low
2026-03-02 08:50,EVT-00054,B1,Parking #B1-F5,CON-353,Contractor,Parking,RFID,Entry,Denied,N/A,Building B1 (Floor 5 - Parking),Medium
2026-03-02 09:00,EVT-00055,B2,Restricted Area #B2-F2,EMP-802,Employee,Restricted Area,Access Card,Exit,Authorized,N/A,Building B2 (Floor 2 - Restricted Area),Low
2026-03-02 09:20,EVT-00056,B3,Server Room #B3-F1,EMP-645,Employee,Server Room,Biometric,Exit,Authorized,N/A,Building B3 (Floor 1 - Server Room),Low
2026-03-02 09:50,EVT-00057,B3,Main Entrance #B3-F5,UNK-999,Unknown,Main Entrance,Access Card,Exit,Authorized,N/A,Building B3 (Floor 5 - Main Entrance),Low
2026-03-02 10:00,EVT-00058,B1,Main Entrance #B1-F5,CON-494,Contractor,Main Entrance,Biometric,Entry,Authorized,N/A,Building B1 (Floor 5 - Main Entrance),Low
2026-03-02 10:30,EVT-00059,B1,Office #B1-F3,VIS-822,Visitor,Office,Visitor Pass,Entry,Authorized,VIS-822,Building B1 (Floor 3 - Office),Low
2026-03-02 10:50,EVT-00060,B3,Server Room #B3-F3,EMP-132,Employee,Server Room,PIN,Exit,Authorized,N/A,Building B3 (Floor 3 - Server Room),Low
2026-03-02 11:20,EVT-00061,B2,Main Entrance #B2-F5,VIS-724,Visitor,Main Entrance,Access Card,Entry,Authorized,VIS-724,Building B2 (Floor 5 - Main Entrance),Low
2026-03-02 11:40,EVT-00062,B3,Emergency Exit #B3-F5,CON-480,Contractor,Emergency Exit,Biometric,Entry,Authorized,N/A,Building B3 (Floor 5 - Emergency Exit),Low
2026-03-02 11:50,EVT-00063,B3,Laboratory #B3-F3,EMP-808,Employee,Laboratory,PIN,Exit,Authorized,N/A,Building B3 (Floor 3 - Laboratory),Low
2026-03-02 12:00,EVT-00064,B2,Office #B2-F2,UNK-999,Unknown,Office,Biometric,Exit,Authorized,N/A,Building B2 (Floor 2 - Office),Low
2026-03-02 12:30,EVT-00065,B2,Emergency Exit #B2-F5,UNK-999,Unknown,Emergency Exit,Biometric,Entry,Authorized,N/A,Building B2 (Floor 5 - Emergency Exit),Low
2026-03-02 13:00,EVT-00066,B3,Main Entrance #B3-F5,CON-438,Contractor,Main Entrance,Visitor Pass,Entry,Authorized,N/A,Building B3 (Floor 5 - Main Entrance),Low
2026-03-02 13:45,EVT-00067,B1,Parking #B1-F1,UNK-999,Unknown,Parking,PIN,Exit,Authorized,N/A,Building B1 (Floor 1 - Parking),Low
2026-03-02 13:55,EVT-00068,B1,Laboratory #B1-F3,CON-308,Contractor,Laboratory,RFID,Entry,Denied,N/A,Building B1 (Floor 3 - Laboratory),Medium
2026-03-02 14:05,EVT-00069,B1,Parking #B1-F1,VIS-646,Visitor,Parking,RFID,Entry,Authorized,VIS-646,Building B1 (Floor 1 - Parking),Low
2026-03-02 14:15,EVT-00070,B1,Emergency Exit #B1-F4,UNK-999,Unknown,Emergency Exit,RFID,Exit,Authorized,N/A,Building B1 (Floor 4 - Emergency Exit),Low
2026-03-02 14:45,EVT-00071,B1,Laboratory #B1-F4,ADM-65,Administrator,Laboratory,Access Card,Entry,Denied,N/A,Building B1 (Floor 4 - Laboratory),Medium
2026-03-02 14:55,EVT-00072,B2,Parking #B2-F4,UNK-999,Unknown,Parking,PIN,Exit,Denied,N/A,Building B2 (Floor 4 - Parking),Medium
2026-03-02 15:40,EVT-00073,B2,Server Room #B2-F4,ADM-67,Administrator,Server Room,PIN,Entry,Authorized,N/A,Building B2 (Floor 4 - Server Room),Low
2026-03-02 15:50,EVT-00074,B1,Parking #B1-F3,ADM-26,Administrator,Parking,Access Card,Entry,Denied,N/A,Building B1 (Floor 3 - Parking),Medium
2026-03-02 16:35,EVT-00075,B1,Server Room #B1-F5,UNK-999,Unknown,Server Room,Access Card,Exit,Suspicious,VIS-631,Building B1 (Floor 5 - Laboratory),Critical
2026-03-02 17:20,EVT-00076,B3,Parking #B3-F1,UNK-999,Unknown,Parking,PIN,Entry,Authorized,N/A,Building B3 (Floor 1 - Parking),Low
2026-03-02 17:30,EVT-00077,B3,Emergency Exit #B3-F2,EMP-287,Employee,Emergency Exit,Biometric,Exit,Authorized,N/A,Building B3 (Floor 2 - Emergency Exit),Low
2026-03-02 18:15,EVT-00078,B2,Main Entrance #B2-F4,VIS-899,Visitor,Main Entrance,Visitor Pass,Exit,Authorized,VIS-899,Building B2 (Floor 4 - Main Entrance),Low
2026-03-02 18:25,EVT-00079,B2,Parking #B2-F4,ADM-96,Administrator,Parking,RFID,Entry,Authorized,N/A,Building B2 (Floor 4 - Parking),Low
2026-03-02 18:55,EVT-00080,B2,Office #B2-F2,CON-333,Contractor,Office,PIN,Entry,Authorized,N/A,Building B2 (Floor 2 - Office),Low
2026-03-02 19:25,EVT-00081,B1,Emergency Exit #B1-F3,CON-411,Contractor,Emergency Exit,RFID,Exit,Authorized,N/A,Building B1 (Floor 3 - Emergency Exit),Low
2026-03-02 20:10,EVT-00082,B2,Laboratory #B2-F1,UNK-999,Unknown,Laboratory,PIN,Entry,Authorized,N/A,Building B2 (Floor 1 - Laboratory),Low
2026-03-02 20:55,EVT-00083,B2,Restricted Area #B2-F4,CON-344,Contractor,Restricted Area,Visitor Pass,Exit,Denied,N/A,Building B2 (Floor 4 - Restricted Area),High
2026-03-02 21:15,EVT-00084,B3,Server Room #B3-F3,CON-333,Contractor,Server Room,Biometric,Exit,Authorized,N/A,Building B3 (Floor 3 - Server Room),Low
2026-03-02 21:35,EVT-00085,B1,Office #B1-F5,VIS-647,Visitor,Office,Visitor Pass,Exit,Authorized,VIS-647,Building B1 (Floor 5 - Office),Low
2026-03-02 21:45,EVT-00086,B1,Laboratory #B1-F4,VIS-890,Visitor,Laboratory,Visitor Pass,Exit,Authorized,VIS-890,Building B1 (Floor 4 - Laboratory),Low
2026-03-02 22:30,EVT-00087,B3,Restricted Area #B3-F1,ADM-20,Administrator,Restricted Area,Access Card,Entry,Authorized,N/A,Building B3 (Floor 1 - Restricted Area),Low
2026-03-02 22:40,EVT-00088,B1,Laboratory #B1-F5,CON-478,Contractor,Laboratory,PIN,Exit,Authorized,N/A,Building B1 (Floor 5 - Laboratory),Low
2026-03-02 22:50,EVT-00089,B2,Server Room #B2-F3,EMP-696,Employee,Server Room,PIN,Exit,Authorized,N/A,Building B2 (Floor 3 - Server Room),Low
2026-03-02 23:10,EVT-00090,B3,Main Entrance #B3-F5,UNK-999,Unknown,Main Entrance,PIN,Exit,Authorized,N/A,Building B3 (Floor 5 - Main Entrance),Low
2026-03-02 23:40,EVT-00091,B3,Emergency Exit #B3-F4,EMP-342,Employee,Emergency Exit,PIN,Entry,Authorized,N/A,Building B3 (Floor 4 - Emergency Exit),Low
2026-03-02 23:50,EVT-00092,B2,Restricted Area #B2-F1,ADM-95,Administrator,Restricted Area,Access Card,Entry,Authorized,N/A,Building B2 (Floor 1 - Restricted Area),Low
2026-03-03 00:10,EVT-00093,B1,Restricted Area #B1-F1,UNK-999,Unknown,Restricted Area,RFID,Exit,Authorized,N/A,Building B1 (Floor 1 - Restricted Area),Low
2026-03-03 00:20,EVT-00094,B2,Laboratory #B2-F4,UNK-999,Unknown,Laboratory,PIN,Exit,Authorized,N/A,Building B2 (Floor 4 - Laboratory),Low
2026-03-03 00:30,EVT-00095,B1,Main Entrance #B1-F2,VIS-872,Visitor,Main Entrance,Biometric,Exit,Authorized,VIS-872,Building B1 (Floor 2 - Main Entrance),Low
2026-03-03 01:15,EVT-00096,B2,Restricted Area #B2-F1,VIS-761,Visitor,Restricted Area,RFID,Entry,Authorized,VIS-761,Building B2 (Floor 1 - Restricted Area),Low
2026-03-03 01:45,EVT-00097,B2,Office #B2-F3,ADM-14,Administrator,Office,Biometric,Entry,Authorized,N/A,Building B2 (Floor 3 - Office),Low
2026-03-03 02:30,EVT-00098,B1,Main Entrance #B1-F4,UNK-999,Unknown,Main Entrance,Access Card,Exit,Authorized,N/A,Building B1 (Floor 4 - Main Entrance),Low
2026-03-03 02:40,EVT-00099,B1,Parking #B1-F2,ADM-71,Administrator,Parking,RFID,Exit,Authorized,N/A,Building B1 (Floor 2 - Parking),Low
2026-03-03 03:10,EVT-00100,B3,Laboratory #B3-F3,CON-327,Contractor,Laboratory,Visitor Pass,Exit,Authorized,N/A,Building B3 (Floor 3 - Laboratory),Low
2026-03-03 03:40,EVT-00101,B1,Parking #B1-F4,VIS-674,Visitor,Parking,Biometric,Exit,Authorized,VIS-674,Building B1 (Floor 4 - Parking),Low
2026-03-03 04:00,EVT-00102,B2,Main Entrance #B2-F5,CON-357,Contractor,Main Entrance,Biometric,Exit,Authorized,N/A,Building B2 (Floor 5 - Main Entrance),Low
2026-03-03 04:30,EVT-00103,B3,Laboratory #B3-F1,EMP-700,Employee,Laboratory,Access Card,Exit,Authorized,N/A,Building B3 (Floor 1 - Laboratory),Low
2026-03-03 04:40,EVT-00104,B2,Office #B2-F1,CON-391,Contractor,Office,Access Card,Entry,Denied,N/A,Building B2 (Floor 1 - Office),Medium
2026-03-03 05:25,EVT-00105,B3,Parking #B3-F4,ADM-14,Administrator,Parking,Biometric,Exit,Authorized,N/A,Building B3 (Floor 4 - Parking),Low
2026-03-03 05:55,EVT-00106,B3,Server Room #B3-F4,ADM-78,Administrator,Server Room,PIN,Entry,Authorized,N/A,Building B3 (Floor 4 - Server Room),Low
2026-03-03 06:05,EVT-00107,B2,Parking #B2-F5,EMP-132,Employee,Parking,Biometric,Entry,Authorized,N/A,Building B2 (Floor 5 - Parking),Low
2026-03-03 06:15,EVT-00108,B2,Laboratory #B2-F4,ADM-19,Administrator,Laboratory,Visitor Pass,Exit,Authorized,N/A,Building B2 (Floor 4 - Laboratory),Low
2026-03-03 07:00,EVT-00109,B3,Emergency Exit #B3-F5,VIS-545,Visitor,Emergency Exit,PIN,Entry,Authorized,VIS-545,Building B3 (Floor 5 - Emergency Exit),Low
2026-03-03 07:20,EVT-00110,B1,Parking #B1-F5,UNK-999,Unknown,Parking,Biometric,Exit,Authorized,N/A,Building B1 (Floor 5 - Parking),Low
2026-03-03 07:30,EVT-00111,B2,Restricted Area #B2-F3,VIS-606,Visitor,Restricted Area,PIN,Exit,Authorized,VIS-606,Building B2 (Floor 3 - Restricted Area),Low
2026-03-03 07:40,EVT-00112,B1,Office #B1-F5,UNK-999,Unknown,Office,Access Card,Exit,Authorized,N/A,Building B1 (Floor 5 - Office),Low
2026-03-03 07:50,EVT-00113,B3,Parking #B3-F5,UNK-999,Unknown,Parking,Visitor Pass,Entry,Authorized,N/A,Building B3 (Floor 5 - Parking),Low
2026-03-03 08:35,EVT-00114,B1,Emergency Exit #B1-F4,CON-327,Contractor,Emergency Exit,Biometric,Entry,Authorized,N/A,Building B1 (Floor 4 - Emergency Exit),Low
2026-03-03 09:05,EVT-00115,B3,Server Room #B3-F1,VIS-779,Visitor,Server Room,PIN,Entry,Authorized,VIS-779,Building B3 (Floor 1 - Server Room),Low
2026-03-03 09:35,EVT-00116,B2,Office #B2-F1,EMP-187,Employee,Office,Visitor Pass,Exit,Authorized,N/A,Building B2 (Floor 1 - Office),Low
2026-03-03 10:20,EVT-00117,B1,Server Room #B1-F1,CON-465,Contractor,Server Room,Biometric,Exit,Authorized,N/A,Building B1 (Floor 1 - Server Room),Low
2026-03-03 10:40,EVT-00118,B2,Main Entrance #B2-F2,VIS-860,Visitor,Main Entrance,Access Card,Exit,Authorized,VIS-860,Building B2 (Floor 2 - Main Entrance),Low
2026-03-03 11:25,EVT-00119,B2,Office #B2-F4,VIS-774,Visitor,Office,RFID,Exit,Authorized,VIS-774,Building B2 (Floor 4 - Office),Low
2026-03-03 11:45,EVT-00120,B3,Server Room #B3-F5,UNK-999,Unknown,Server Room,Access Card,Entry,Authorized,N/A,Building B3 (Floor 5 - Server Room),Low
2026-03-03 11:55,EVT-00121,B3,Office #B3-F5,UNK-999,Unknown,Office,PIN,Exit,Authorized,N/A,Building B3 (Floor 5 - Office),Low
2026-03-03 12:40,EVT-00122,B1,Server Room #B1-F2,CON-372,Contractor,Server Room,Biometric,Exit,Authorized,N/A,Building B1 (Floor 2 - Server Room),Low
2026-03-03 13:10,EVT-00123,B3,Restricted Area #B3-F4,ADM-85,Administrator,Restricted Area,RFID,Entry,Authorized,N/A,Building B3 (Floor 4 - Restricted Area),Low
2026-03-03 13:20,EVT-00124,B3,Laboratory #B3-F1,UNK-999,Unknown,Laboratory,RFID,Entry,Authorized,N/A,Building B3 (Floor 1 - Laboratory),Low
2026-03-03 13:40,EVT-00125,B2,Office #B2-F4,UNK-999,Unknown,Office,Access Card,Entry,Authorized,N/A,Building B2 (Floor 4 - Office),Low
2026-03-03 14:10,EVT-00126,B2,Main Entrance #B2-F5,CON-374,Contractor,Main Entrance,Visitor Pass,Entry,Suspicious,N/A,Building B2 (Floor 5 - Main Entrance),High
2026-03-03 14:40,EVT-00127,B2,Laboratory #B2-F2,EMP-840,Employee,Laboratory,Biometric,Exit,Authorized,N/A,Building B2 (Floor 2 - Laboratory),Low
2026-03-03 15:25,EVT-00128,B2,Office #B2-F1,ADM-80,Administrator,Office,Biometric,Exit,Authorized,N/A,Building B2 (Floor 1 - Office),Low
2026-03-03 15:35,EVT-00129,B2,Server Room #B2-F2,ADM-22,Administrator,Server Room,RFID,Entry,Authorized,N/A,Building B2 (Floor 2 - Server Room),Low
2026-03-03 16:20,EVT-00130,B3,Restricted Area #B3-F4,VIS-638,Visitor,Restricted Area,Visitor Pass,Entry,Authorized,VIS-638,Building B3 (Floor 4 - Restricted Area),Low
2026-03-03 16:30,EVT-00131,B2,Laboratory #B2-F4,CON-467,Contractor,Laboratory,Visitor Pass,Exit,Authorized,N/A,Building B2 (Floor 4 - Laboratory),Low
2026-03-03 16:40,EVT-00132,B2,Server Room #B2-F4,CON-397,Contractor,Server Room,Biometric,Entry,Authorized,N/A,Building B2 (Floor 4 - Server Room),Low
2026-03-03 16:50,EVT-00133,B3,Parking #B3-F4,EMP-367,Employee,Parking,Access Card,Exit,Authorized,N/A,Building B3 (Floor 4 - Parking),Low
2026-03-03 17:35,EVT-00134,B2,Main Entrance #B2-F2,UNK-999,Unknown,Main Entrance,Biometric,Exit,Authorized,N/A,Building B2 (Floor 2 - Main Entrance),Low
2026-03-03 18:05,EVT-00135,B1,Server Room #B1-F4,CON-434,Contractor,Server Room,Access Card,Exit,Authorized,N/A,Building B1 (Floor 4 - Server Room),Low
2026-03-03 18:25,EVT-00136,B2,Office #B2-F1,VIS-772,Visitor,Office,PIN,Exit,Authorized,VIS-772,Building B2 (Floor 1 - Office),Low
2026-03-03 18:35,EVT-00137,B2,Emergency Exit #B2-F2,ADM-75,Administrator,Emergency Exit,PIN,Exit,Authorized,N/A,Building B2 (Floor 2 - Emergency Exit),Low
2026-03-03 18:45,EVT-00138,B2,Parking #B2-F1,EMP-567,Employee,Parking,Biometric,Entry,Denied,N/A,Building B2 (Floor 1 - Parking),Medium
2026-03-03 18:55,EVT-00139,B1,Main Entrance #B1-F1,EMP-511,Employee,Main Entrance,Biometric,Entry,Authorized,N/A,Building B1 (Floor 1 - Main Entrance),Low
2026-03-03 19:40,EVT-00140,B1,Laboratory #B1-F1,ADM-37,Administrator,Laboratory,Biometric,Entry,Authorized,N/A,Building B1 (Floor 1 - Laboratory),Low
2026-03-03 19:50,EVT-00141,B3,Main Entrance #B3-F3,CON-316,Contractor,Main Entrance,Visitor Pass,Entry,Authorized,N/A,Building B3 (Floor 3 - Main Entrance),Low
2026-03-03 20:35,EVT-00142,B1,Office #B1-F5,VIS-770,Visitor,Office,PIN,Exit,Authorized,VIS-770,Building B1 (Floor 5 - Office),Low
2026-03-03 21:05,EVT-00143,B1,Office #B1-F4,ADM-76,Administrator,Office,Access Card,Exit,Authorized,N/A,Building B1 (Floor 4 - Office),Low
2026-03-03 21:25,EVT-00144,B1,Main Entrance #B1-F4,VIS-508,Visitor,Main Entrance,Visitor Pass,Exit,Denied,VIS-508,Building B1 (Floor 4 - Main Entrance),Medium
2026-03-03 21:45,EVT-00145,B2,Parking #B2-F5,UNK-999,Unknown,Parking,Biometric,Entry,Authorized,N/A,Building B2 (Floor 5 - Parking),Low
2026-03-03 22:05,EVT-00146,B2,Parking #B2-F5,ADM-51,Administrator,Parking,Visitor Pass,Entry,Authorized,N/A,Building B2 (Floor 5 - Parking),Low
2026-03-03 22:15,EVT-00147,B1,Parking #B1-F2,CON-448,Contractor,Parking,Visitor Pass,Exit,Suspicious,N/A,Building B1 (Floor 2 - Parking),High
2026-03-03 22:25,EVT-00148,B3,Restricted Area #B3-F1,EMP-642,Employee,Restricted Area,PIN,Entry,Authorized,N/A,Building B3 (Floor 1 - Restricted Area),Low
2026-03-03 22:45,EVT-00149,B2,Office #B2-F1,UNK-999,Unknown,Office,RFID,Entry,Authorized,N/A,Building B2 (Floor 1 - Office),Low
2026-03-03 22:55,EVT-00150,B3,Server Room #B3-F4,CON-428,Contractor,Server Room,PIN,Entry,Authorized,N/A,Building B3 (Floor 4 - Server Room),Low
2026-03-03 23:40,EVT-00151,B3,Main Entrance #B3-F4,UNK-999,Unknown,Main Entrance,Visitor Pass,Entry,Suspicious,N/A,Building B3 (Floor 4 - Main Entrance),High
2026-03-04 00:25,EVT-00152,B2,Office #B2-F3,UNK-999,Unknown,Office,Biometric,Entry,Authorized,N/A,Building B2 (Floor 3 - Office),Low
2026-03-04 01:10,EVT-00153,B3,Office #B3-F1,UNK-999,Unknown,Office,PIN,Entry,Authorized,N/A,Building B3 (Floor 1 - Office),Low
2026-03-04 01:40,EVT-00154,B3,Laboratory #B3-F4,VIS-870,Visitor,Laboratory,Visitor Pass,Entry,Authorized,VIS-870,Building B3 (Floor 4 - Laboratory),Low
2026-03-04 02:00,EVT-00155,B3,Server Room #B3-F4,EMP-586,Employee,Server Room,Visitor Pass,Entry,Authorized,N/A,Building B3 (Floor 4 - Server Room),Low
2026-03-04 02:20,EVT-00156,B2,Server Room #B2-F2,ADM-30,Administrator,Server Room,RFID,Exit,Authorized,N/A,Building B2 (Floor 2 - Server Room),Low
